SS,Mã hàng,Link Form,"Số
vòng dây ",MSKH,TCCL,"Link
TCCL",Tên khách hàng,"Part
Number",Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,"Gửi Lot DAI DIEN: ""DD""
Gửi TOAN BO Lot: ""TB""","Gửi dữ
 liệu [M]","Nơi nhận
dữ liệu","Ngoài đối tượng

VD : 736 KH không cho giảm",Nội dung gửi mail,Địa chỉ gửi mail,DUNG LƯỢNG 1 LẦN GỬI
FC140RE70768K,70768K,XEM,,882134K,A81856,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70768K,70768K,XEM,,884122C,A82281,XEM,MAGNA MIRRORS (TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70768L,70768L,XEM,09510,882134K,A83390,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70768M,70768M,XEM,09510,882134K,A87843,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70768N,70768N,XEM,9510,550236,A88582,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70768N,70768N,XEM,,884122C,A89272,XEM,MAGNA MIRRORS(TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70768P,70768P,XEM,9510,550236,A90505,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70768P,70768P,XEM,,884122C,A90506,XEM,MAGNA MIRRORS(TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70768Q,70768Q,XEM,9510,550236,QS-10-002216,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70768R,70768R,XEM,,884122C,QS-10-002269,XEM,MAGNA MIRRORS(TAICANG)AUTOMOTI,-,MONTH,MAP,,DD,,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70770D,70770D,XEM,07400,137745,A89837,XEM,XƯỞNG CHẾ TẠO KOITO(CỔ PHẦN),,,,,-,-,-,AQL,,,
FC140RE70770C,70770C,XEM,07400,137745,A85719,XEM,Khu chế tác KOITO (cổ phần),-,,,,-,-,-,AQL,,,
FC140RE70770E,70770E,XEM,07400,137745,QS-10-004552,XEM,KOITO MANUFACTURING (CỔ PHẦN),-,,,,-,-,-,AQL,,,
FC140RE70773C,70773C,XEM,07400,940775,A79674,XEM,INDIA JAPAN LIGHTING PVT.LTD,-,MONTH,MAP,,DD,-,SPO,," Subject:  Motor outgoing inspection record on June -2024  ( Sumitronics Thailand )
To: SPO / Ms. Reiko Chin, Tang Chin Tien San
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on June -2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.",SPO/REIKO CHIN <c.reiko.dqk@mabuchi-motor.com>; SPO/TANG CHIN TIEN <c.tangc.mcb@mabuchi-motor.com>,8.0
FC140RE70773C,70773C,XEM,,974204T,A80762,XEM,"TAYIH INDUSTRIAL CO.,LTD.",-,MONTH,MAP,,DD,-,TWM,,"Subject: Motor outgoing inspection record on December-2024
To:  TWM / Chen Iling san
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on December-2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.
","TWM/CHEN MEIJU(陳美如) <m.chenm.rha@mabuchi-motor.com>
TWM/CHANG KAIHSIANG(張凱翔) <k.chang.spa@mabuchi-motor.com>",8.0
FC140RE70773D,70773D,XEM,07400,940775,A83896,XEM,INDIA JAPAN LIGHTING PVT.LTD,-,MONTH,MAP,,DD,-,SPO,CP," Subject:  Motor outgoing inspection record on June -2024  ( Sumitronics Thailand )
To: SPO / Ms. Reiko Chin, Tang Chin Tien San
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on June -2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.",SPO/REIKO CHIN <c.reiko.dqk@mabuchi-motor.com>; SPO/TANG CHIN TIEN <c.tangc.mcb@mabuchi-motor.com>,8.0
FC140RE70773E,70773E,XEM,07400,974204T,A89836,XEM,"TAYIH INDUSTRIAL CO.,LTD.",-,MONTH,MAP,,DD,-,TWM,,"Subject: Motor outgoing inspection record on December-2024
To:  TWM / Chen Iling san
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on December-2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.
","TWM/CHEN MEIJU(陳美如) <m.chenm.rha@mabuchi-motor.com>
TWM/CHANG KAIHSIANG(張凱翔) <k.chang.spa@mabuchi-motor.com>",8.0
FC140RE70773F,70773F,XEM,,940775,A89797,XEM,INDIA JAPAN LIGHTING PVT.LTD,-,MONTH,MAP,,DD,-,SPO,CP," Subject:  Motor outgoing inspection record on June -2024  ( Sumitronics Thailand )
To: SPO / Ms. Reiko Chin, Tang Chin Tien San
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on June -2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.",SPO/REIKO CHIN <c.reiko.dqk@mabuchi-motor.com>; SPO/TANG CHIN TIEN <c.tangc.mcb@mabuchi-motor.com>,8.0
FC140RE70773F,70773F,XEM,,950998Q,QS-10-005529,XEM,INDIA JAPAN LIGHTING PVT.LTD,-,,,,-,-,-,,,,
FC140RE70773G,70773G,XEM,,974204T ,QS-10-004605,XEM,TAYIH INDUSTRIAL CO.	 LTD.,-,MONTH,MAP,,DD,-,TWM,,"Subject: Motor outgoing inspection record on December-2024
To:  TWM / Chen Iling san
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on December-2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.
","TWM/CHEN MEIJU(陳美如) <m.chenm.rha@mabuchi-motor.com>
TWM/CHANG KAIHSIANG(張凱翔) <k.chang.spa@mabuchi-motor.com>",8.0
FC140RE70773H,70773H,XEM,7400,940775,QS-10-004673,XEM,INDIA JAPAN LIGHTING PVT.LTD,-,MONTH,MAP,,DD,-,SPO,CP," Subject:  Motor outgoing inspection record on June -2024  ( Sumitronics Thailand )
To: SPO / Ms. Reiko Chin, Tang Chin Tien San
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on June -2024.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.",SPO/REIKO CHIN <c.reiko.dqk@mabuchi-motor.com>; SPO/TANG CHIN TIEN <c.tangc.mcb@mabuchi-motor.com>,8.0
FC140RE70773H,70773H,XEM,,950998Q,QS-10-008455,XEM,INDIA JAPAN LIGHTING PVT.LTD,-,,,,-,-,-,,,,
FC140RE70781F,70781F,XEM,09510,300038N,A79198,XEM,MAGNA MIRRORS SYSTEMS,-,,,,-,-,-,,,,
FC140RE70781F,70781F,XEM,,550236,A79987,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70781F,70781F,XEM,,882134K,A81032,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70781F,70781F,XEM,,300194N,A81117,XEM,MAGNA CLOSURES DO BRAZIL LTDA,-,,,,-,-,-,CP,,,
FC140RE70781G,70781G,XEM,09510,550236,A81359,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70781G,70781G,XEM,,886861,A81389,XEM,MAGNA MIIRORS(TAICANG)AUTOMO,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70781G,70781G,XEM,,882134K,A82075,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70781G,70781G,XEM,,300194N,A82593,XEM,MAGNA CLOSURES DO BRAZIL LTDA,-,,,,-,-,-,CP,,,
FC140RE70781H,70781H,XEM,09510,882134K,A83388,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70781J,70781J,XEM,09510,882134K,A87827,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70781K,70781K,XEM,09510,550236,A88580,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70781K,70781K,XEM,,886861,A89408,XEM,MAGNA MIRRORS (TAICANG) AUTOMO,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70781K,70781K,XEM,,300194N,A90504,XEM,MAGNA CLOSURES DO BRAZIL LTDA,-,,,,-,-,-,,,,
FC140RE70781L,70781L,XEM,09510,550236,A90508,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70781M,70781M,XEM,09510,300194N,A91081,XEM,MAGNA CLOSURES DO BRAZIL LTDA,-,,,,-,-,-,,,,
FC140RE70781N,70781N,XEM,09511,550236,QS-10-002060,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70781N,70781N,XEM,,509372U,QS-10-004787,XEM,MAGNA MIRRORS SOUTH-EAST EUROPE DOOEL,-,,,,-,-,-,,,,
FC140RE70781Q,70781Q,XEM,,300194N,QS-10-002158,XEM,MAGNA CLOSURES DO BRAZIL LTDA,-,,,,-,-,-,,,,
FC140RE70782F,70782F,XEM,09510,300038N,A79165,XEM,MAGNA MIRRORS SYSTEMS,-,,,,-,-,-,,,,
FC140RE70782F,70782F,XEM,,550236,A79988,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70782F,70782F,XEM,,882134K,A81033,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70782F,70782F,XEM,,300194N,A81116,XEM,MAGNA CLOSURES DO BRAZIL LTDA,-,,,,-,-,-,CP,,,
FC140RE70782G,70782G,XEM,09510,550236,A81361,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70782G,70782G,XEM,,886861,A81388,XEM,MAGNA MIRRORS(TAICANG)AUTOMO,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
